Tender,Company,Procurement,Notice,Location,Closing,Value,Date
"Provision of an Ex-service, single decker Euro 6 bus (for conversion by others)",East Riding of Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  16 November 2022, 12pm",  £0,   3 November 2022
CA11311 - Mobile Resting Electrocardiograph (ECG) Machines x 4,New College Swindon,  Opportunity,  Open,  SN3 1AH,"  17 November 2022, 10am",  £0,"   2 November 2022, last edited  3 November 2022"
Dorset Families Matter - Family Support Packages,Dorset Council,  Opportunity,  Open,  England,"   2 December 2022,  4pm","  £750,000",   3 November 2022
Ruislip High School - MUGA surface replacement,RUISLIP HIGH SCHOOL,  Opportunity,  Open,  HA40BY,"  17 November 2022, 12pm","  £80,000 to £110,000","  26 October 2022, last edited  3 November 2022"
Grounds Maintenance,Royal Berkshire Fire Authority,  Opportunity,  Open,  RG31 7SD,"  14 December 2022,  2pm","  £0 to £200,000",   3 November 2022
Hawking Highlights Tour: Touring Set Build & Fit Out,Science Museum Group,  Opportunity,  Open,  SW7 2DD,"  24 November 2022,  5pm","  £28,000",   3 November 2022
RQ0000011083 RCSP Winch,Ministry of Defence,  Opportunity,  Open,  SP4 0JQ,"   2 December 2022,  5pm","  £40,000",   3 November 2022
Kresen Kernow Cafe,Cornwall Council,  Opportunity,  Open,  United Kingdom,"  29 November 2022, 11:59pm","  £25,000","   3 November 2022, last edited  3 November 2022"
UKRI-2466 Dipole S Gain Media,UK Research and Innovation,  Opportunity,  Open,  South East,"   5 December 2022, 11am","  £400,000",   3 November 2022
The Provision of a Talking Therapy Service for Children and young People on behalf of NHS South West London Integrated Care Board,NHS Shared Business Services,  Early engagement,  Open,  London,  23 November 2022,Publication date  3 November 2022,None
National Framework Agreement for the provision of Infection Control Clinical Surveillance Systems,Countess Of Chester Hospital,  Opportunity,  Open,  United Kingdom,"   5 December 2022,  2pm","  £1 to £20,000,000",   3 November 2022
Analysis of People and Nature Surveys Data,Natural England,  Opportunity,  Open,  United Kingdom,"  18 November 2022, 12pm","  £10,000 to £24,999","   2 November 2022, last edited  3 November 2022"
BHCC Market Engagement Event for Learning Disability Providers,Brighton & Hove City Council,  Early engagement,  Open,  South East,  10 November 2022,Publication date  3 November 2022,None
International Bilateral Fund,UK SPACE AGENCY,  Early engagement,  Open,  SN12 1SZ,   5 December 2022,"Publication date 31 October 2022, last edited  3 November 2022",None
CA11327 - Tender for an Immersive Space,New College Swindon,  Opportunity,  Open,  SN3 1AH,"  27 November 2022, 12pm",  £0,   3 November 2022
New Security Office and IT Networking Room,Simply Serve Ltd,  Opportunity,  Open,  BA21 4AT,"  25 November 2022, 12pm","  £40,000",   3 November 2022
ASW DEPLOYABLES INDUSTRY DAY,Ministry of Defence,  Early engagement,  Open,  South East,  11 November 2022,Publication date  3 November 2022,None
RWM 562 Film production,Nuclear Waste Services,  Opportunity,  Open,  OX11 0GD,"   2 December 2022, 12pm","  £750,000","   2 November 2022, last edited  3 November 2022"
Agreement for the Start-Up Loans Company's Post Loan Support Partner services,The Start-Up Loans Company,  Opportunity,  Open,  Any region,"   7 December 2022, 12pm","  £5,000,000",   3 November 2022
Housing First Tenancy Support and Sustainment Service,West Berkshire,  Opportunity,  Open,  RG14 5LD,"   1 December 2022, 12pm","  £333,409","   1 November 2022, last edited  3 November 2022"
The Provision of an External Print Service 2023,Dudley Metropolitan Borough Council,  Opportunity,  Open,  DY1 1HF,"   5 December 2022, 12pm",  £0,   3 November 2022
CA11261 - Kingston Maurward College - Student Transport Services,Kingston Maurward College,  Opportunity,  Open,  DT2 8PY,"  11 January 2023, 10am",  £0,   2 November 2022
CA11322 - Tender for Simulator Manikins,New College Swindon,  Opportunity,  Open,  SN3 1AH,"   6 December 2022, 12pm",  £0,   2 November 2022
The Provision of Internal Audit Services,The Police and Crime Commissioner for Derbyshire,  Opportunity,  Open,  DE5 3RS,"   2 December 2022, 12pm","  £4,500,000 to £5,000,000",   2 November 2022
Enforcement Agent Services,The Borough Council of Calderdale,  Opportunity,  Open,"  Any region, Wales","  30 November 2022, 12pm","  £500,000 to £1,850,000",   2 November 2022
Online Distance Learning Services Framework,University of Birmingham,  Opportunity,  Open,  B15 2TT,"   2 December 2022, 12pm",  £0,"   2 November 2022, last edited  2 November 2022"
Power and Data Works Framework,Yorkshire and Humber Police Procurement (Y&HPP),  Opportunity,  Open,  Any region,"   6 January 2023,  3pm","  £0 to £27,934,000",   2 November 2022
Eversley Park play area renewal,Kings Worthy Parish Council,  Opportunity,  Open,  SO237NJ,"   1 December 2022,  5pm","  £0 to £100,000",   2 November 2022
Soft & Hard Facilities Management,Satellite Applications Catapult,  Opportunity,  Open,  South East,"   5 December 2022, 12pm",  £0,   2 November 2022
BTA1804 - Destination Management Companies and Inbound Operators to Plan and Operate Showcase Britain Familiarisation Visits,British Tourist Authority t/a VisitBritain/VisitEngland,  Opportunity,  Open,  SW1W 0BD,"  18 November 2022, 12pm","  £177,000",   2 November 2022
Tender for Detonator Building Civils and Electrical works for Explosives Facilities Upgrades,Health & Safety Executive,  Opportunity,  Open,  East Midlands,"  23 November 2022,  3pm","  £120,000 to £150,000",   2 November 2022
"Supply, Delivery and Installation of 1 x 25000 kg Commercial Scissor Ramp",Halton Borough Council,  Opportunity,  Open,  England,"  16 November 2022, 11am",  £0,   2 November 2022
Supply and Delivery of 1 x Compact Tractor,Halton Borough Council,  Opportunity,  Open,  England,"  16 November 2022, 11am",  £0,   2 November 2022
Multiply (adult numeracy) RCTs and 'What Works' programme of RCTs and trials,Department For Education,  Early engagement,  Open,  United Kingdom,  12 November 2022,Publication date  2 November 2022,None
RBGKEW1127 - Kew Easter Festival 2023,Board of Trustees of the Royal Botanic Gardens Kew,  Opportunity,  Open,  TW9 3AE,"  23 November 2022, 11am","  £25,000",   2 November 2022
YPO - 001104 - Travel Management Solution II,YPO,  Opportunity,  Open,  United Kingdom,"   5 December 2022,  2pm","  £50,000,000 to £200,000,000",   2 November 2022
Dynamic Purchasing System for Provision of Supported Living for Adults Aged over 18,Medway Council,  Opportunity,  Open,  ME4 4TR,"   2 December 2022,  1pm","  £15,115,000","   2 November 2022, last edited  2 November 2022"
"The UK currently faces a challenging economic climate - with increased energy prices, growing inflation, interest rate rises and the 'cost of living crisis'.  This impacts the third sectors' resilience, at a time when residents experiencing greater hardship are increasingly likely to require the support that the VCFS can offer.  This service aims to provide timely support to address short -term challenges and establish long-term resilience and productivity, recognising a healthy VCFS is essential to a thriving Surrey.
      
      By providing immediate direct support to community groups through this service, creating sustainable resources and guidance, up-skilling Councils fo",Surrey County Council,  Opportunity,  Open,  RH2 8EF,"  23 November 2022, 12:30pm",  £0,   2 November 2022
Bowls Pavillion toilet rebuild,Water Orton Parish Council,  Opportunity,  Open,  B46 1RU,"  18 November 2022,  5pm","  £50,000",   2 November 2022
Vat Split Payments,H M Revenue & Customs,  Early engagement,  Open,  United Kingdom,  18 November 2022,"Publication date 28 October 2022, last edited  2 November 2022",None
The provision of data by companies engaging with self-employed individuals for an Income Tax in-year calculation pilot,H M Revenue & Customs,  Early engagement,  Open,  United Kingdom,  23 November 2022,Publication date  2 November 2022,None
MBC Cleaning and Waste Clearance,Maidstone Borough Council,  Opportunity,  Open,  England,"  16 December 2022, 12pm",  £0,"   2 November 2022, last edited  2 November 2022"
Event (Utility) Buggy Hire - Tall Ships 2023,Hartlepool Borough Council,  Opportunity,  Open,  TS24 8AY,"  18 November 2022,  2pm",  £0,   2 November 2022
West Hertfordshire Teaching Hospitals - Contract for Partnership in the Provision of West Herts Stoma Care Services,West Hertfordshire Teaching Hospitals,  Opportunity,  Open,  WD18 0HB,"   1 December 2022, 12pm",  £0,   2 November 2022
Services to Support Young People into Learning & Employment (NEET Prevention),Liverpool City Council,  Opportunity,  Open,  England,"  30 November 2022,  1pm","  £1,530,000",   2 November 2022
Plant Hire - Tall Ships 2023,Hartlepool Borough Council,  Opportunity,  Open,  TS24 8AY,"  18 November 2022,  2pm",  £0,   2 November 2022
External Audit Services (507-AHL),Alliance Homes,  Opportunity,  Open,  BS20 7AW,"  28 November 2022, 11:59am","  £80,000 to £150,000",   2 November 2022
Temporary Accommodation (Cabins) - Tall Ships 2023,Hartlepool Borough Council,  Opportunity,  Open,  TS24 8AY,"  18 November 2022,  2pm",  £0,   2 November 2022
Direct Payment Employment Support Service,London Borough of Waltham Forest,  Opportunity,  Open,  England,"   2 December 2022,  5pm","  £240,000",   2 November 2022
Proposed Contract for Supply of Power Bi Foundation Training Courses,Bromsgrove District Council,  Opportunity,  Open,  England,"  10 November 2022, 10am",  £0,   2 November 2022
673 - Fundraising and Engagement Service,UNIVERSITY OF GLOUCESTERSHIRE,  Opportunity,  Open,  South West,"  14 November 2022, 11:59pm","  £1 to £62,000","  24 October 2022, last edited  2 November 2022"
"DDP079 Re-development of Former Market Hall and Bus Station, Bakewell Road, Matlock",Derbyshire Dales District Council,  Opportunity,  Open,  England,"  12 December 2022, 12pm","  £1,000,000",   2 November 2022
71-81 Tavener Drive Re-Roofing Works,Hightown Housing,  Opportunity,  Open,  HP2 4XH,"  30 November 2022, 12pm",  £0,"   2 November 2022, last edited  2 November 2022"
Early Engagement,Department for Education,  Early engagement,  Open,  SW1P 3BT,  25 November 2022,"Publication date  2 November 2022, last edited  2 November 2022",None
HRA and Non-HRA Property Valuation Services,Folkestone and Hythe District Council,  Opportunity,  Open,  England,"  30 November 2022, 12pm","  £150,000",   2 November 2022
Consultancy Services For Social Care Innovation Programme Summative Assessment,.East Riding Of Yorkshire Council,  Early engagement,  Open,  Yorkshire and the Humber,  30 November 2022,"Publication date  2 November 2022, last edited  2 November 2022",None
Private Sector Licensing Services,London Borough of Barking and Dagenham,  Opportunity,  Open,  IG11 7LU,"  16 December 2022,  2pm","  £1 to £80,000,000",   2 November 2022
TEC Partnership - Design Team Services Animal Care,TEC Partnership,  Opportunity,  Open,  DN34 5BQ,"  30 November 2022, 12pm",  £0,"   2 November 2022, last edited  2 November 2022"
"The Supply, Installation and Maintenance of Gym Equipment",THE UNIVERSITY OF BIRMINGHAM,  Opportunity,  Open,  B15 2TT,"   5 December 2022, 12pm","  £500,000",   2 November 2022
Supply of a Quantitative Phase Imaging Microscope,The University of Warwick,  Opportunity,  Open,  CV4 7AL,"  30 November 2022, 12pm","  £0 to £200,000",   2 November 2022
High Speed Two (HS2) Limited : Motorised Fire Trolleys,HS2,  Opportunity,  Open,  B4 6GA,"   7 December 2022, 12pm","  £2,037,895.93 to £3,056,843.94",   2 November 2022
Marketing Print,The British Broadcasting Corporation (BBC),  Opportunity,  Open,  Any region,"   2 December 2022,  2pm","  £1,600,000",   2 November 2022
Morden Decoy Pond (Morden Bog NNR) Assessment of Palaeo- environmental Potential,Natural England,  Opportunity,  Open,  South West,"  25 November 2022,  4pm","  £0 to £25,000",   2 November 2022
Window Cleaning Services,University of Bristol,  Opportunity,  Open,  South West,"  16 December 2022,  9am","  £0 to £150,000",   2 November 2022
FS900253 Surveillance of AMR bacteria in raw dog and cat food on retail sale in the UK,The Food Standards Agency,  Opportunity,  Open,  Any region,"  15 December 2022, 12pm","  £230,000",   2 November 2022
Third-Party Catering Tender,University of Bristol,  Opportunity,  Open,  South West,"   9 February 2023,  3pm",  £0,   2 November 2022
Selection Tests for Entry To Grammar Schools - Provision of,London Borough Of Bexley,  Opportunity,  Open,  London,"   9 December 2022, 12pm","  £500,000",   2 November 2022
Zone A QB CICU & Theatre 9 Chiller Upgrade,NHS South West - Acutes,  Opportunity,  Open,  Any region,"   7 December 2022,  4pm","  £200,000 to £220,000",   2 November 2022
Waste Treatment Dynamic Purchasing System,Bristol Waste Company,  Opportunity,  Open,  England,"   5 December 2022, 12pm","  £10,000,000 to £100,000,000",   2 November 2022
RES / AM Provision of Display (Signage & Exhibition) Equipment,Bristol City Council,  Opportunity,  Open,  England,"  13 December 2022, 12pm","  £600,000",   2 November 2022
Water Environment Worker Apprenticeship,Defra Network eTendering Portal,  Opportunity,  Open,  SW1P 3JR,"  12 December 2022, 12pm","  £4,500,000",   2 November 2022
Sports Pavilion,Downend & Bromley Heath Parish Council,  Opportunity,  Open,  BS16 6QW,"   7 December 2022, 12pm","  £600,000","  26 October 2022, last edited  2 November 2022"
"Duty Free Services at St Helier Harbour. Jersey, Channel Islands",Ports of Jersey,  Opportunity,  Open,  Channel Islands,"  28 November 2022, 10am",  £0,   2 November 2022
South Gloucestershire Harmful Sexual Behaviour intervention service,South Gloucestershire Council,  Opportunity,  Open,  BS37 5AF,"  12 December 2022, 12pm","  £400,000",   2 November 2022
Framework for the Supply & Distribution of Building Materials,Home Group,  Opportunity,  Open,  United Kingdom,"   5 December 2022, 12pm","  £9,500,000","  26 October 2022, last edited  2 November 2022"
3494.PS.LWM.22 - Public Relations & Media support provider for India,UNIVERSITY OF SHEFFIELD,  Opportunity,  Open,  Yorkshire and the Humber,"   5 December 2022, 12pm","  £50,000",   2 November 2022
Landscaping around sports pavilion,Downend & Bromley Heath Parish Council,  Opportunity,  Open,  BS16 6QW,"   7 December 2022, 12pm","  £50,000","  26 October 2022, last edited  2 November 2022"
Holderness Ward Footpath Improvements,Hull City Council,  Opportunity,  Open,  Yorkshire and the Humber,"   2 December 2022, 12pm","  £70,000 to £75,000",   2 November 2022
Construction and Installation of a Helideck,County Durham and Darlington Fire and Rescue Service,  Opportunity,  Open,  North East,"   2 December 2022, 12pm","  £0 to £300,000",   2 November 2022
Independent Sexual Violence Advisors Service,South West Police Procurement Services,  Opportunity,  Open,  South West,"   6 December 2022, 10am",  £0,   2 November 2022
M621 Junction 1-7 Improvements - Kerbing,KELTBRAY HIGHWAYS LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"   9 November 2022,  5pm","  £30,000",   2 November 2022
LDC-014 Fuel Supply Framework,Lichfield District Council,  Opportunity,  Open,  WS7 3JH,"   5 December 2022, 12pm","  £1,800,000",   2 November 2022
Cultural Diagnostic,Health Education England,  Opportunity,  Open,  LS1 4PL,"  16 November 2022,  5pm","  £75,000",   2 November 2022
Installation of renewable energy system at Bracklesham Barn,EAST WITTERING BRACKLESHAM PARISH COUNCIL,  Early engagement,  Open,  PO20 8HU,  31 December 2022,Publication date  2 November 2022,None
Q1316 - Generator Maintenance - RETENDER,Guy's and St Thomas' NHS Foundation Trust,  Opportunity,  Open,  SE1 9RT,"   2 December 2022, 12pm","  £360,000",   2 November 2022
'Be Well this Winter' A Winter Resilience Highly Targeted Outreach Service,West Berkshire Council,  Opportunity,  Open,  RG14 5LD,"  16 November 2022, 12pm","  £0 to £56,550",   2 November 2022
Strategic Framework for the future requirements of water level management on the Somerset Levels and Moors,Natural England,  Opportunity,  Open,  South West,"  18 November 2022,  5pm","  £0 to £24,999",   2 November 2022
Highways GPS System and 5 Year Maintenance,Medway Council,  Opportunity,  Open,  England,"  11 November 2022, 12pm","  £30,000",   2 November 2022
Installation of Changing Places Toilet at Bracklesham Barn,EAST WITTERING BRACKLESHAM PARISH COUNCIL,  Opportunity,  Open,  PO20 8HU,"  15 December 2022,  5pm","  £25,000",   2 November 2022
Supported Living Framework re-opening August 2021,West Sussex County Council,  Opportunity,  Open,  PO19 1RQ,"  30 July 2029,  1:08pm",  £0,"  26 April 2022, last edited  2 November 2022"
Tollgate Hall Carpark Extension,Stanway Parish Council,  Opportunity,  Open,  CO30RH,"  30 November 2022,  5pm","  £50,000",   2 November 2022
"CPU 5867 (MDC) Fritchley Court - Construction of four, one bedroom apartments for social housing",Nottingham City Council,  Opportunity,  Open,  England,"  14 December 2022, 12pm","  £750,000",   2 November 2022
Provision of Support Services for Adults and Children Affected by Domestic Abuse in North Lincolnshire,North Lincolnshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  23 November 2022,  2pm",  £0,   2 November 2022
Office for Product Safety and Standards - Testing of Eco Design Hot Water Cylinders,"Department for Business, Energy & Industrial Strategy",  Opportunity,  Open,  SW1H 0ET,"   8 November 2022,  3pm","  £35,000","  20 October 2022, last edited  2 November 2022"
Cleaning Services,Yorkshire and Humber Police Procurement (Y&HPP),  Opportunity,  Open,  Yorkshire and the Humber,"   9 December 2022, 12pm",  £0,   2 November 2022
Stakeholder Management System,Intellectual Property Office,  Early engagement,  Open,  NP10 8QQ,  25 November 2022,Publication date  2 November 2022,None
Office of Product Standards and Safety - Testing for Eco Design Dishwashers,"Department for Business, Energy & Industrial Strategy",  Opportunity,  Open,  TW11 0JZ,"   8 November 2022,  3pm","  £60,000","  19 October 2022, last edited  2 November 2022"
GB-Preston: Building extension work,Council of Reserve Forces' and Cadets' Associations,  Opportunity,  Open,  North West,"  11 November 2022, 12am","  £100,000 to £500,000",   2 November 2022
PROVISION OF EXTERNAL AUDIT SERVICES FOR RFCA WALES 2022 - 2027,Reserve Forces' and Cadets' Associations for Wales,  Opportunity,  Open,  Wales,"   7 December 2022, 12am","  £75,000",   2 November 2022
Occupational Health Services,East Suffolk Council,  Opportunity,  Open,  IP12 1RT,"  22 November 2022, 12pm","  £0 to £167,300",   2 November 2022
Audit of Information available to AONBs to support their land use planning advice.,Natural England,  Opportunity,  Open,  England,"  25 November 2022, 12pm",  £1,   2 November 2022
Visitor Management Plan Brief - Gressenhall Access to Nature Project (GANP) Invitation to Quote,Norfolk County Council,  Opportunity,  Open,  East of England,"  18 November 2022, 12pm","  £15,000",   2 November 2022
"Reparation, Victim Services and Referral Order Panel Co-ordination Soft Market Testing Approach",Nottinghamshire County Council,  Early engagement,  Open,  East Midlands,  14 November 2022,Publication date  2 November 2022,None
Luminate Education Group - LEG T042 Tender for ITSS  Project 1,Leeds City College,  Opportunity,  Open,  LS3 1AA,"   5 December 2022, 12pm",  £0,   2 November 2022
"3535/ASTC/GM/22 Framework for the Supply of Service, Calibration & Technical Support to ASTC",University Of Sheffield,  Opportunity,  Open,  S60 5TZ,"  15 November 2022, 12pm","  £0 to £100,000",   2 November 2022
Doncaster NHS Health Checks Service,EU SUPPLY LIMITED,  Opportunity,  Open,  DN1 3BU,"   2 December 2022, 12pm","  £0 to £750,000","   1 November 2022, last edited  2 November 2022"
Call for Expression of Interest - Camborne Town Deal Co-working Space Project,Cornwall Council,  Early engagement,  Open,  England,  28 November 2022,"Publication date  2 November 2022, last edited  2 November 2022",None
Peer Mentoring for Individuals with a Substance Dependency,Department for Work and Pensions,  Opportunity,  Open,"  Any region, North East, North West, London, South East, South West, Scotland, Wales","  21 November 2022, 10am","  £4,000,000",   2 November 2022
Doncaster Domestic Abuse Safe Accommodation Service,Doncaster Council,  Opportunity,  Open,  DN1 3BU,"   2 December 2022, 12pm","  £0 to £1,500,000",   2 November 2022
Health and Safety Equipment,The Pensions Regulator,  Opportunity,  Open,  BN1 4DW,"  18 November 2022,  5pm","  £46,250",   2 November 2022
Developing and delivery sleep studies training,Health Education England,  Opportunity,  Open,  LS1 4PL,"   2 December 2022, 12pm","  £430,000",   2 November 2022
Processing Minor Planning  Applications Support,Canterbury City Council,  Opportunity,  Open,  England,"   1 December 2022, 12pm","  £450,000",   2 November 2022
"Expression of Interest - Grounds Maintenance Services - Sycamore Hall, North Yorkshire",HOUSING 21,  Early engagement,  Open,  DL8 3HF,   2 December 2022,Publication date  2 November 2022,None
Local Authority Childcare Sufficiency Support Contract,Department for Education,  Opportunity,  Open,  SW1P 3BT,"   2 December 2022, 12pm","  £825,000",   2 November 2022
Vascular Surgery Training,Health Education England,  Opportunity,  Open,  LS1 4PL,"  11 November 2022, 12pm","  £108,333.33",   2 November 2022
UKRI-2534 PIP-II Helium Pressure Vessels,UK Research & Innovation,  Opportunity,  Open,  Any region,"   9 December 2022,  2pm","  £100,000",   2 November 2022
Oak National Academy Cycle 1 Specification for Full Curriculum Packages,Oak National Academy,  Opportunity,  Open,  SW1P 3BT,"   5 December 2022, 11:59pm","  £0 to £9,000,000",   2 November 2022
Responsive Drainage Maintenance and Drainage Surveys,Selwood Housing Group,  Opportunity,  Open,  BA14 8RT,"   5 December 2022,  1pm","  £0 to £424,611",   2 November 2022
Refurbishment and alteration works to the pannier market,North Devon District Council,  Opportunity,  Open,  South West,"  25 November 2022, 11:59pm","  £150,000","  11 October 2022, last edited  2 November 2022"
"Provision of Security Guarding Services in British Embassy Rabat, British Consulate General Casablanca & Honorary Consulate Marrakech",Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  10 November 2022, 10am","  £783,511.80","  28 September 2022, last edited  2 November 2022"
Diversion from offending and early intervention,London Borough of Brent,  Opportunity,  Open,  England,"  28 November 2022, 12pm","  £271,955.25",   1 November 2022
"Construction of new pavilion and associated work at Haddenham, Cambridgeshire",Haddenham Parish Council,  Early engagement,  Open,  East of England,  16 November 2022,Publication date  1 November 2022,None
"Formation of New Football Pitches, Haddenham, Cambs",Haddenham Parish Council,  Early engagement,  Open,  East of England,  16 November 2022,Publication date  1 November 2022,None
Provision of a Sighting System for H&K 416 Carbines,Cheshire Constabulary on behalf of the Police and Crime Commissioner for Cheshire,  Opportunity,  Open,  CW7 2UA,"  21 November 2022, 12pm","  £0 to £150,000",   1 November 2022
Comms on the move Electronic Steerable Antenna Test (CESAT) - Compact Antenna Test Range (CATR),Satellite Applications Catapult,  Opportunity,  Open,  South East,"   1 December 2022, 12pm",  £0,   1 November 2022
"Crystal Palace Park Grounds Maintenance, Tree Surveying, Tree Works and Heritage Conservation Works",Crystal Palace Park Trust,  Opportunity,  Open,  London,"  16 December 2022, 12pm","  £500,000 to £700,000",   1 November 2022
LIFE19NATUK000147 Purchase of timber tree guard stakes,NE,  Opportunity,  Open,  East Midlands,"  17 November 2022, 12pm","  £40,000",   1 November 2022
Termination of Pregnancy Services (TOPs) Northamptonshire,N E L COMMISSIONING SUPPORT UNIT,  Early engagement,  Open,  East Midlands,  14 November 2022,"Publication date  1 November 2022, last edited  1 November 2022",None
e-ITT for Community Services for Fareham Borough,Fareham Borough Council,  Opportunity,  Open,  PO16 7AZ,"   9 December 2022, 12pm","  £40,000",   1 November 2022
"The Wave Centre, Maryport - Swimming Pool and Associated Facilities Extension",Allerdale Borough Council,  Opportunity,  Open,  England,"  22 November 2022, 11am","  £4,860,000",   1 November 2022
One Collection Internal Moves: Large Object Moves Project,Science Museum Group,  Opportunity,  Open,  SW7 2DD,"  30 November 2022,  5pm","  £0 to £950,000",   1 November 2022
Letting Agreement Golf Course Road Cottages,SOUTHAMPTON CITY COUNCIL,  Opportunity,  Open,  so147ly,"  15 November 2022, 12pm","  £15,000",   1 November 2022
St Luke&apos;s Gardens Play Area Refurbishment and improvements to children&apos;s climbing rock area,capitalEsourcing,  Opportunity,  Open,  London,"  30 November 2022,  5pm","  £287,500",   1 November 2022
Ware Cemetery maintenance contract,Ware Town Council,  Opportunity,  Open,  SG120DN,"  30 November 2022,  9am","  £20,000 to £30,000",   1 November 2022
"Market Accelerator for Green Construction (MAGC) - Monitoring, Evaluation & Learning Partner","Department for Business, Energy & Industrial Strategy",  Future opportunity,  Open,  Any region,Approach to market date 10 November 2022,"  £1,100,000",   1 November 2022
M&E Maintenance Services Contract,National Army Museum,  Opportunity,  Open,  SW3 4HT,"  30 November 2022,  5pm","  £125,000",   1 November 2022
Cirrus Consortium Waste Management Framework 2023,Cirrus Purchasing,  Opportunity,  Open,  L3 4AE,"   2 December 2022, 12pm","  £0 to £40,000,000",   1 November 2022
Framework for Occupational Therapy Assessments,Stockport Metropolitan Borough Council,  Opportunity,  Open,  United Kingdom,"  29 November 2022, 12pm","  £0 to £800,000",   1 November 2022
National Survey with people living with diabetes,NHS England,  Opportunity,  Open,  LS2 7UE,"   1 December 2022, 12pm","  £650,000",   1 November 2022
PQ0406 - Employee Assistance Programme,Birmingham City Council,  Opportunity,  Open,  B4 7WB,"  15 November 2022, 12pm",  £0,   1 November 2022
Cafe Refurbishment,Sedgemoor District Council,  Opportunity,  Open,  England,"  29 November 2022, 12pm","  £140,000","   1 November 2022, last edited  1 November 2022"
A resource consumption footprint / baseline and methodology,Defra Network eTendering Portal,  Opportunity,  Open,  Any region,"  25 November 2022, 12pm","  £150,000","  26 October 2022, last edited  1 November 2022"
COV - Housing First 2022,Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"   1 December 2022,  1pm","  £0 to £832,000",   1 November 2022
TD1935 - Festive Lights & Seasonal Decorations,Derby City Council,  Opportunity,  Open,  East Midlands,"   1 December 2022, 12pm","  £270,000",   1 November 2022
Regent's Park Bridges Project,The Royal Parks Ltd,  Opportunity,  Open,  London,"  29 November 2022,  2pm","  £1,500,000",   1 November 2022
Gecko Creation Space Lead Architect,Ipswich Borough Council,  Opportunity,  Open,  IP1 2DE,"   1 December 2022, 11am","  £40,000 to £50,000",   1 November 2022
Hazelhurst Court Extra Care Service,London Borough of Lewisham,  Opportunity,  Open,  England,"  20 November 2022, 11:30pm","  £2,717,000","  28 October 2022, last edited  1 November 2022"
PRJ-1210-NCL ICB-Any Qualified Provider (AQP) Termination of Pregnancy Services,NEL Commissioning Support Unit,  Opportunity,  Open,  N1 1TH,"   2 December 2022,  2pm","  £5,683,554",   1 November 2022
"Supply of Sewing Machines, Parts and Ancillary Items, and Repair Services",Ministry of Justice,  Opportunity,  Open,"  Any region, North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales","   5 December 2022, 12pm","  £3,700,000",   1 November 2022
East Midlands 'Made Smarter' Programme - Industrial Digital Technology Advisor Support,Lincolnshire County Council,  Opportunity,  Open,  England,"  18 November 2022, 12pm","  £85,000","  28 October 2022, last edited  1 November 2022"
Interpretation of features for SSSI citations,Natural England,  Opportunity,  Open,  Any region,"   1 December 2022, 12pm",  £0,   1 November 2022
Brand Awareness Audit 2023,COMMONWEALTH WAR GRAVES COMMISSION,  Opportunity,  Open,"  United Kingdom, Belgium, France","  25 November 2022, 12pm","  £25,000",   1 November 2022
22/SJM/001 Coach Hire Services,University of Portsmouth e-Tendering,  Opportunity,  Open,  PO1 2ER,"   2 December 2022, 12pm",  £0,   1 November 2022
CETE083 - Version 2 Supply of Vehicle Parts to OEM or Equivalent Specification,Derbyshire County Council,  Opportunity,  Open,  England,"  17 November 2022, 11:59pm","  £3,200,000","  14 September 2022, last edited  1 November 2022"
LPS CORP - Peer Network Support in Lancashire - RFQ 15347161,Lancashire County Council,  Opportunity,  Open,  North West,"  22 November 2022, 10am","  £390,000","  21 October 2022, last edited  1 November 2022"
DGM/2014 - Procurement of SOLAS Stores ITT,Ministry of Defence,  Opportunity,  Open,  BS24 8JH,"   6 December 2022, 12pm","  £500,000",   1 November 2022
Request for Information - Night-time Domiciliary Care & Support Service in Category 2.5 Sheltered Housing,Portsmouth City Council,  Opportunity,  Open,  PO1 2AL,"  30 November 2022, 12pm",  £0,   1 November 2022
Expression of Interest - CMK Growth Opportunity Study,Milton Keynes Council,  Opportunity,  Open,  MK9 3EJ,"  15 November 2022, 11:59pm",  £0,   1 November 2022
Norbury Manor Primary School - Acoustic Treatment to 3 no. Reception Classrooms,Croydon Council,  Opportunity,  Open,  England,"  22 November 2022, 12pm","  £30,000",   1 November 2022
Supply and Fit 'Roof Edge Protection',Calderdale and Huddersfield Solutions ltd,  Opportunity,  Open,  HD3 3EA,"  30 November 2022, 12pm","  £50,000","  30 September 2022, last edited  1 November 2022"
Coaching Framework,CPI (Centre for Process Innovation),  Opportunity,  Open,  TS104RF,"  25 November 2022, 12pm","  £0 to £177,896.99",   1 November 2022
Digital Customer Information System for TfWM - Market Engagement,West Midlands Combined Authority,  Early engagement,  Open,  West Midlands,  15 November 2022,Publication date  1 November 2022,None
NCC903 Whinney Hill Groundworks Phase 1A & 2,Advance Northumberland Limited,  Opportunity,  Open,  North East,"  16 November 2022, 12pm",  £0,"  19 October 2022, last edited  1 November 2022"
