Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Leaseholder Blocks - Packages,South Lakes Housing,  Opportunity,  Open,  North West,"  25 November 2022, 12pm","  £500,000",   4 November 2022
RFI: How can UKSA better catalyse investment into the UK space sector,UK SPACE AGENCY,  Early engagement,  Open,  SN2 1SZ,  28 November 2023,"Publication date  3 November 2022, last edited  4 November 2022",None
Refuse Collection Vehicles,East Riding of Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"   6 December 2022, 12pm","  £6,000,000 to £8,000,000",   4 November 2022
DBB Duct Liner Components,United Kingdom Atomic Energy Authority,  Opportunity,  Open,  South East,"   4 January 2023, 12pm","  £0 to £200,000",   4 November 2022
Campsfield House and Haslar IRCs Procurement,Home Office,  Opportunity,  Open,  CR0 1XG,"  11 January 2023,  4pm","  £425,000,000",   4 November 2022
Procurement of Managed Service Partner for Bedford College Academy Trust,2P Solutions Ltd (Contracting Authority),  Opportunity,  Open,  East of England,"   5 December 2022, 12pm","  £100,000 to £150,000","   4 November 2022, last edited  4 November 2022"
Friends & Family of Substance Misusers Service,Rotherham Metropolitan Borough Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 December 2022, 12am",  £0,   4 November 2022
"Department for Education Energy Pods for Schools, Market Engagement",Department For Education,  Early engagement,  Open,  England,  30 November 2022,Publication date  4 November 2022,None
Suffolk County Music Service Concert Tours 2023,Suffolk County Council,  Opportunity,  Open,  IP1 2BX,"   5 December 2022, 12pm","  £100,000",   4 November 2022
705509452 - Unmanned Aerial Vehicles (UAVs) for Thea Secondis,Ministry of Defence,  Opportunity,  Open,  TR12 7RH,"   5 December 2022, 10am","  £9,650,000",   4 November 2022
CEFAS22-122 FSS Phytoplankton testing and analysis,Cefas,  Opportunity,  Open,  NR33 0HT,"   5 December 2022, 12pm","  £0 to £1,800,000",   4 November 2022
Calderdale Local Area Energy Planning,The Borough Council of Calderdale,  Opportunity,  Open,  Any region,"   2 December 2022,  2pm","  £100,000 to £140,000",   4 November 2022
Virtual Market Engagement Event - NHS Coventry & Warwickshire Safe Haven,NHS Arden and Greater East Midlands Commissioning Support Unit,  Opportunity,  Open,  West Midlands,"  22 November 2022,  4pm","  £1 to £1,433,320",   4 November 2022
22-187 - Friends & Family of Substance Misusers Service,Rotherham Metropolitan Borough Council,  Early engagement,  Open,  Yorkshire and the Humber,  31 December 2022,Publication date  4 November 2022,None
Direct Support Payments Service 2023,Knowsley Council,  Opportunity,  Open,  England,"   5 December 2022,  9:30am","  £360,000 to £600,000",   4 November 2022
Term Maintenance and Installation Contract for Traffic Control and Information Systems,Bournemouth Christchurch and Poole Council,  Opportunity,  Open,  South West,"  25 November 2022,  2pm","  £12,000,000","  27 September 2022, last edited  4 November 2022"
Project 1778 - Heycroft Primary Boiler replacement,Southend-on-Sea Borough Council,  Opportunity,  Open,  England,"  30 November 2022, 12pm","  £72,000",   4 November 2022
DEFRA Air Quality Project,London Borough of Ealing,  Early engagement,  Open,  England,   4 February 2023,Publication date  4 November 2022,None
SOFT MARKET TESTING  - Provision of nursery/daycare services,ONWARD GROUP LIMITED,  Early engagement,  Open,  North West,  14 November 2022,Publication date  4 November 2022,None
Mental Health Treatment Requirements (MHTRs) in the South East (Phase 2) on behalf of NHS England South East,"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",  Opportunity,  Open,  South East,"  12 December 2022, 12pm","  £8,400,000",   4 November 2022
IPS Substance Misuse,Doncaster Council,  Opportunity,  Open,  DN1 3BU,"   7 December 2022, 12pm","  £0 to £310,278",   4 November 2022
Part-time Cleaner,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B70 8SZ,"  10 November 2022, 12pm","  £1,995","   4 November 2022, last edited  4 November 2022"
Cybersecurity Bootcamps,City of London Corporation,  Opportunity,  Open,  EC2P 2EJ,"  11 November 2022, 12pm","  £75,000 to £100,000",   4 November 2022
Senior Youth Officer,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B70 8SZ,"  11 November 2022, 12pm","  £7,130.64",   4 November 2022
LiveWest Cyclical Works 2023,LiveWest Homes Limited,  Opportunity,  Open,  England,"   9 December 2022, 12pm","  £1,500,000",   4 November 2022
Healthy Start Vitamins Manufacture,NHS Business Services Authority,  Early engagement,  Open,  NE15 8NY,  28 November 2022,Publication date  4 November 2022,None
Community Opportunities Framework,Redcar & Cleveland Borough Council,  Opportunity,  Open,  North East,"  12 December 2022,  2pm","  £6,000,000",   4 November 2022
Aspirant Deputy Director of Nursing Talent Scheme 2022-23,NHS England,  Opportunity,  Open,  LS2 7UE,"  18 November 2022, 12pm","  £80,000",   4 November 2022
Contract for Framework for the supply of Sports Retail Leisure Products and Goods,Durham County Council,  Opportunity,  Open,  England,"   6 December 2022, 12pm","  £150,000",   4 November 2022
Tractor lease x2,Cheshire west and Chester Borough Council,  Opportunity,  Open,  England,"  25 November 2022, 10am","  £25,000",   4 November 2022
Future of transport,Transport Focus,  Opportunity,  Open,  United Kingdom,"  18 November 2022,  5pm","  £50,000 to £60,000",   4 November 2022
Public Relationship and peripheral services in Spain and other European countries,BRITISH COUNCIL(THE),  Opportunity,  Open,  Europe,"   5 December 2022,  4:05pm",  £0,   4 November 2022
Assess the mitigation potential of the Gateway Projects for two SACs in Buckinghamshire,Natural England,  Opportunity,  Open,  England,"   2 December 2022,  5pm","  £10,000 to £20,000",   4 November 2022
Supply of Medical Gases in Cylinders,Berkshire Healthcare NHS Foundation Trust,  Opportunity,  Open,  South East,"  16 December 2022, 10am","  £8,400,000",   4 November 2022
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Parks,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  25 November 2022, 10am",  £0,   4 November 2022
Grange Lido & Promenade Refurbishment,South Lakeland District Council,  Opportunity,  Open,  England,"   5 December 2022,  1pm","  £5,600,000",   4 November 2022
Environmental Enforcement,London Borough of Merton,  Opportunity,  Open,  England,"   5 December 2022, 12pm",  £0,   4 November 2022
Supplementary Substance Misuse Services,Oxfordshire County Council,  Opportunity,  Open,  England,"   9 December 2022, 12pm","  £2,800,000 to £20,000,000",   4 November 2022
Teams Telephony,General Pharmaceutical Council,  Opportunity,  Open,  London,"   6 December 2022, 12pm","  £435,000",   4 November 2022
Design Services,Money and Pensions Service,  Early engagement,  Open,  EC1N 2TD,  11 November 2022,Publication date  4 November 2022,None
Installation of Play Equipment and Surface Coverings at Itchen Valley Country Park,Eastleigh Borough Council,  Opportunity,  Open,  England,"  30 November 2022,  5pm","  £70,000 to £75,000",   4 November 2022
Solar Panels for South Norfolk Leisure Centres,Breckland District Council and South Holland District Council,  Opportunity,  Open,  NR19 1EE,"   2 December 2022, 12pm","  £0 to £1,000,000",   4 November 2022
Advocacy Helpline and &apos;Safety Net&apos; Service,Department for Education,  Early engagement,  Open,  Any region,  22 November 2022,Publication date  4 November 2022,None
CA11314 - Invitation To Tender for a Managed Payroll Service for the Mulberry Schools Trust,Mulberry Schools Trust,  Opportunity,  Open,  E2 6NW,"   5 December 2022, 12pm","  £180,000",   4 November 2022
Forest of Dean Toilet & Site Cleaning,Forestry Commission,  Opportunity,  Open,  South West,"   5 December 2022, 12pm","  £270,000",   4 November 2022
"13366  - Demolition and Associated Works at Saxelby House, Barratts House and Kingswood House, Kimpton Close, Druids Heath, Birmingham, B14 5TF",Birmingham City Council,  Opportunity,  Open,  B7 4BL,"   2 December 2022, 12pm",  £0,   4 November 2022
M621 Junction 1-7 Improvements - Traffic Signal/Ducting installation,KELTBRAY HIGHWAYS LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  18 November 2022, 11:59pm","  £100,000",   4 November 2022
